,address_line,approved_contractor,domestic_installer,email,name,pat,post_code,post_town,start_of_post_code,telephone,url
184,263 Alcester Road South,1,0,service@tbsmech.co.uk,T B S Mechanical & Electrical Design & Build Ltd,1,B14 6DT,Birmingham,B14,0121 693 5575,
185,308 Alcester Road South,1,1,ahmedhossien@hotmail.com,A&A Plumbing & Electrical Contractors Lt d,1,B14 6EN,Birmingham,B14,07773282639,
186,12 Granton Close,1,1,craig@midlandelectrical.net,Midland Electrical Ltd,1,B14 6HE,Birmingham,B14,0121 624 6081,
187,16 Hazelhurst Road,1,1,zeng_w@yahoo.com,Dr Plumber & Gas Engineer,1,B14 7PJ,Birmingham,B14,07946343386,
188,29 Melstock Road,0,1,birminghamelectriciansltd@gmail.com,Birmingham Electricians,0,B14 7ND,Birmingham,B14,07794752103,www.birminghamelectricianuk.co.uk/
189,"41 Poplar Road,Kings Heath",1,1,donna.ashmore@optivo.org.uk,Optivo,1,B14 7AA,Birmingham,B14,0330 123 0220,
190,"66 Balmoral Way,Warstock",1,1,info@plumbtecservices.co.uk,Plumbtec Services Ltd,1,B14 4NT,Birmingham,B14,07740178332,
191,30 Dorstone Covert,1,1,Jcjelectrical@outlook.com,JCJ ELECTRICAL,1,B14 5YH,Birmingham,B14,07872053204,
192,22 Edward Road,1,1,russ@rlelectricalservicesltd.co.uk,R & L Electrical Services Ltd,1,B14 5UA,Birmingham,B14,0121 628 1262,
193,32 Benson road,1,1,simon@greenleafelectricaluk.co.uk,Green Leaf Electrical,1,B14 4PH,Birmingham,B14,07568306836,
194,107-108 Icknield Port Road,1,1,david.kibble@enderbey.co.uk,Enderbey Ltd,1,B16 0AA,"Ladywood, Birmingham",B16,0121 454 6090,
195,46 Marroway Street,0,1,gussysperin@yahoo.co.uk,G S Electrical,0,B16 0AR,Birmingham,B16,07817 360 156,
196,"5 The Laurels,Marroway Street",0,1,d2delectricalservices@gmail.com,Dusk 2 Dawn Electrical Services,0,B16 0AR,Birmingham,B16,07914536608,
197,276 Monument Road,1,1,info@hylandelectrical.co.uk,J P Hyland Electrical Ltd,1,B16 8XF,Birmingham,B16,01214 542010,www.hylandelectrical.com
198,40 Hallewell Road,1,1,volttech3@gmail.com,Volt-tech Electrical Solutions,1,B16 0LR,Birmingham,B16,01214085230,
199,6 Gate Lane,1,1,jaselectricalandheating@hotmail.com,Glow Electrical Heating,1,B16 0NF,Birmingham,B16,07932 532301,
200,"45 Paignton Road,Edgbaston",1,1,amjadkhan71@btinternet.com,EBS Electrical Building Solutions,1,B16 0JX,Birmingham,B16,07469943588,
201,16 Jacey Road,1,1,jogindermatharu@icloud.com,JS Alterations,1,B16 0LL,Birmingham,B16,0121 454 6548,
202,66 Hagley Road,1,1,louise.heath@rightio.co.uk,Rightio Limited,1,B16 8PF,Birmingham,B16,01214107000,www.rightio.co.uk
203,"94 Shenstone Road,Edgbaston",1,1,piendar@yahoo.com,Galaxy Electrical Contractors,1,B16 0NT,Birmingham,B16,07748902159,
204,311 Hagley Road,1,1,pervaze@pnisar.co.uk,Astoria Electrical Services,1,B16 9LQ,Birmingham,B16,07423818878,
205,30 Oaklands Avenue,0,1,2ndcity@blueyonder.co.uk,2nd City Ltd,0,B17 9TU,Birmingham,B17,01214273978,
206,"158 Gordon Road,Harborne",1,1,dean@jdpfireandsecurity.com,J D P Fire & Security Ltd,1,B17 9EY,Birmingham,B17,01214265536,
207,"Unit 5,Wellington Street",1,1,YAndharris@aol.com,Young & Harris Ltd,1,B18 4NN,Birmingham,B18,0121 523 0476,
208,"Unit 7,129 Western Road",1,1,gerard@enterpriseelectrical.co.uk,Enterprise Electrical Services Ltd,1,B18 7QD,"Hockley, Birmingham",B18,0121 507 0602,
209,"Unit 14, All Saints Industrial Estate,All Saints Street",1,1,warren@mpasselectrical.co.uk,M-Pass Electrical & Heating Ltd,1,B18 7RJ,Birmingham,B18,01215238010,
210,"Suite 614F The big Peg,Vyse Street, Hockley",1,1,Jamie@jhelectrical.info,T & D Design & Build Ltd,1,B18 6NF,BIRMINGHAM,B18,01215540147,
211,"Unit 1,9 Kenyon Steet",1,1,vjchopra@icloud.com,ETME Group Ltd,1,B18 6AR,Birmingham,B18,01216791242,
212,"715 Crocodile Works, Alma Street",0,1,shariffeldeen@gmail.com,Smart Switch Electrical Ltd,0,B19 2AG,Birmingham,B19,07773428319,
213,259 Hospital Street,1,1,enquiry@dhgittins.com,D H Gittins Ltd,1,B19 2YF,Birmingham,B19,07919285837,www.dhgittins.com
214,"Unit 1, Challenge Park,161-163 Hospital Street",1,0,roy.sharratt@directcontrols.co.uk,Direct Control Systems Ltd,0,B19 3XA,Birmingham,B19,0121 248 3300,
215,"219 Bridge Street West,Newtown",1,0,rod.johnson@wingate.co.uk,Wingate Electrical Plc,1,B19 2YU,Birmingham,B19,01213800740,
216,"Summer House,74-75 Summer Lane",1,1,tony.mes88@gmail.com,MES Moseley Electrical Services,1,B19 3NG,Birmingham,B19,0121 359 7888,
217,76 Summer Lane,1,1,caroline.lowe@ceslimited.uk.com,Countrywide Electrical Services Ltd,1,B19 3NG,Birmingham,B19,0121 248 1400,www.countrywideelectricalsvs.com
218,"174 Heathfield Road,Handsworth",1,1,aeservices@hotmail.co.uk,A E S Midlands Ltd,1,B19 1JF,Birmingham,B19,0121 682 7931,
219,"The Podium,Bank House, Cherry Street",1,0,mford@ses-ltd.co.uk,SES (Engineering Services) Ltd,1,B2 5AL,Birmingham,B2,0121 616 4350,www.ses-ltd.co.uk
220,"25 Somerset Road,Handsworth",1,1,spklaire@gmail.com,Klaire's Construction's,1,B20 2JE,Birmingham,B20,07976292977,
221,"42 Somerset Road,Handsworth",1,1,,Grissom Electrical Services,1,B20 2JD,Birmingham,B20,0121 523 4515,
222,79 College Road,1,1,uandselectrics@ymail.com,U & S Electrics,1,B20 2JH,Birmingham,B20,07805655910,
223,19 Worlds End Road,1,1,kal.singh@ediinstallations.com,EDI Installations Ltd,1,B20 2NP,Birmingham,B20,0121 515 2247,
224,"66 West Avenue,Handsworth Wood",0,1,info@impulseelectrics.co.uk,Impulse Electrics Ltd,0,B20 2LU,Birmingham,B20,07827966170,
225,36 Inchcape Avenue,1,1,info@essentialtradesltd.com,Essential Trades LTD,1,B20 2LG,Birmingham,B20,07944575474,
226,36 Greenridge Road,1,1,sunnyelectrical@aol.com,Sunny Electrical & Building Contractors,1,B20 1JP,Birmingham,B20,0121 681 7309,
227,"35 Wellington Road,Handsworth",0,1,Sujad.khan@btinternet.com,S K Electrical,0,B20 2DU,Birmingham,B20,01215232601,
228,"15 Trinity Way,Handsworth",1,1,info@electroengineers.co.uk,Electro Engineers Ltd,1,B20 2RF,Birmingham,B20,07984 166214,
229,"6 Nursery Drive,Handsworth",0,1,m.tradesons@gmail.com,MTS Electrical and Plastering,0,B20 2SW,Birmingham,B20,07398528148,
230,2 The Croftway,1,1,sales@mrg-electrical.co.uk,M G Electrical Contractors,1,B20 1EG,Birmingham,B20,0121 686 5317,www.mrgelectrical.com
231,76 Greenway,1,1,twalker@tbwsolutionsltd.co.uk,TBW Solutions Ltd,1,B20 1EQ,Birmingham,B20,07940072069,tbwsolutionsltd.co.uk
232,"5 Charles Road,Handsworth",1,1,cityliving@hotmail.co.uk,City Living,1,B20 3QN,Birmingham,B20,07795168155,
233,"311 Wellington Road,Perry barr",1,1,dannydecon@hotmail.com,Daniel Forbes T/A Decon Electrical Syste,1,B20 2QH,Birmingham,B20,0121 356 0200,
234,223 Birchfield Road,1,1,abzgas@hotmail.co.uk,A B Z Gas & Electrics,1,B20 3DG,Birmingham,B20,0121 3447805,
235,"8 George Street,Handsworth",1,1,enquiries@bobbyselectricals.co.uk,Bobby's Electricals,1,B21 0EG,Birmingham,B21,07886976432,www.bobbyelectricals.co.uk
236,"55, Sandwell Court,Sandwell Road",1,1,,Cityserve Electrical,1,B21 8NN,Birmingham,B21,07486524575,https://cityservelectrical.co.uk
237,"171 Westbourne Road,Handsworth",1,1,usman@teckelectrical.com,Teck Electrical Ltd,1,B21 8AU,Birmingham,B21,07503347422,www.teckelectrical.com
238,177 Booth Street,1,1,martin.king@midlandheart.org.uk,Midland Heart Ltd,1,B21 0NU,Hansworth,B21,07719988698,
239,"30-34 Rookery Road,Handsworth",1,1,philmallin@drewmark.co.uk,Drewmark Building Services Ltd,1,B21 9NB,Birmingham,B21,0121 551 4444,
240,30 Mary Road,0,1,onkar.hde@gmail.com,HDE (UK Limited),0,B21 0RH,"Handsworth, Birmingham",B21,07815868709,
241,33 Scholars Close,1,1,admin@ksrltd.co.uk,KSR CONTRACTORS LTD,1,B21 0UB,Birmingham,B21,07454007733,www.ksrltd.co.uk
242,"Arion Business Centre,Harriet House, 118 High Street",1,1,office@siriuselectricalltd.co.uk,Sirius Electrical Ltd,1,B23 6BG,Birmingham,B23,07973183319,
243,"224-232 High Street,Erdington",1,1,terry.henderson@spie.com,SPIE Facilities Limited,1,B23 6SJ,Birmingham,B23,07787101588,
244,"Faraday Court,85 Summer Road, Erdington",1,1,awood@spectrumem.org.uk,Spectrum Electrical & Mechanical Engineers Ltd,0,B23 6UT,Birmingham,B23,0121 350 9929,
245,1a Johnson Road,1,1,rjelec@tiscali.co.uk,R J Electrical Contracts,0,B23 6PU,Birmingham,B23,0121 382 4480,
246,75 Milverton Road,1,1,m-ryan1@live.co.uk,M W Ryan Electrical Ltd,1,B23 6EZ,Birmingham,B23,07720124241,
247,191 Gravelly Lane,0,1,victorthabani@yahoo.com,Expert Electricians,0,B23 5SG,Birmingham,B23,07827297228,
248,34 Hunton Hill,1,1,www.ish786@live.co.uk,M. I. Electrical,1,B23 7NE,Birmingham,B23,07866 267 822,
249,"Grosvenor House,658 Chester Road",1,1,enquiries@chellelectricalservices.co.uk,Chellserv Limited,1,B23 5TE,"Erdington, Birmingham",B23,07974446658,
250,"656 Chester Road,Erdington",1,1,greg@shiregrove.co.uk,Shiregrove Electrical Services Ltd,1,B23 5TE,Birmingham,B23,07803264136,
251,"16 Crowther Road,Erdington",1,1,rochibbs@googlemail.com,Hibbs Electrics,1,B23 7DL,Birmingham,B23,07791126718,
252,153 Turfpits Lane,1,1,dana_10@hotmail.co.uk,D.S Engineering,1,B23 5EA,Birmingham,B23,07809687830,
253,130 Ivyfield Road,0,1,1stchoiceelectrics.info@mail.com,1st Choice Electrics Ltd,0,B23 7HL,BIRMINGHAM,B23,07871449520,
254,24 Gipsy Lane,0,1,sales@hpelectrics.co.uk,H P Alarms & Electrics,0,B23 7SP,Birmingham,B23,07966 057156,
255,23 Poppy Lane,0,1,cjjonesinstallations@blueyonder.co.uk,CJ Jones Installations Ltd,0,B24 0EJ,Birmingham,B24,01212415963,
256,24 Chestnut Drive,1,1,glcontractorsuk@gmail.com,GL Contractors Ltd,1,B24 0DP,"Erdington, Birmingham",B24,07885992206,
257,887 Chester Road,1,1,info@teslondon.co.uk,Technical Electrical Solutions,1,B24 0BS,BIRMINGHAM,B24,01212410585,www.teslondon.co.uk
258,49 Deakin Road,1,1,ptec01@btinternet.com,Journeyman Electrical Ltd,1,B24 9AL,Birmingham,B24,0121 350 6675,
259,"101 Trafalgar Road,Erdington",1,1,renton_lance@hotmail.com,Trafalgar Electrical Services,1,B24 9AR,Birmingham,B24,07969988676,
260,"900 Chester Road,Erdington",1,1,info@mac-contracting.co.uk,M A C Contracting,1,B24 0BN,Birmingham,B24,07831469058,
261,"8 Spring Lane,Erdington",1,1,mwnewman@blueyonder.co.uk,MTEK Electrical Limited,1,B24 9BU,Birmingham,B24,01213731521,www.dhpconstruction.co.uk
262,"572 Kingsbury Road,Erdington",1,1,admin@fselectricals.co.uk,F & S Electrical,1,B24 9ND,Birmingham,B24,01213821117,
263,1176 Tyburn Road,1,1,Stuart.spencer@outlook.com,S2P Electrical Ltd,1,B24 0TD,Birmingham,B24,07917413810,
264,"720 Kingsbury Road,Erdington",1,1,lloyd@phadams.co.uk,P H Adams (Electrical Contractors) Ltd,1,B24 9PN,Birmingham,B24,0121 382 4422,
265,Unit 18 Key Business Park,1,1,tom.jones@epms2010.com,EPMS 2010,1,B24 9PT,"Kingsbury Road, Birmingham",B24,07969186879,
266,"Suite 1P1 Park Business Centre,Wood Lane, Erdington",1,1,metsltd@hotmail.com,Midland Elite Trade Solutions Ltd,1,B24 9QR,Birmingham,B24,0121 2701070 / 07764 772520,
267,"Unit J22,Hastingwood Industrial Estate",1,1,michael.kerley@me.com,Michael Kerley,1,B24 9QR,Birmingham,B24,07973 672255,
268,"Unit J11 Hastingwood Industrial Park,Wood Lane",1,1,info@myriadelectrical.co.uk,Myriad Electrical Ltd,1,B24 9QR,Birmingham,B24,07545263558,
269,"Unit L1, Tyburn Industrial Estate,Ashold Farm Road",1,1,gary@neweys.co.uk,Newey Installation Ltd,1,B24 9QG,Birmingham,B24,0121 3825181,
270,"76 Hansons Road,Erdington",1,1,equiptelectrical@gmail.com,Equipt Electrical,1,B24 0PA,Birmingham,B24,07794295151,
271,"Labrador, Boughton Road",0,1,cadelectrical@btinternet.com,CAD Electrical,0,B25 8AJ,"Yardley, Birmingham",B25,07711340507,
272,56 Broadyates Road,0,1,s_abdul@hotmail.co.uk,Tesla Electro Tech,0,B25 8JE,Birmingham,B25,07815767896,
273,"359 Yardley Road,Yardley",1,1,scelec35@googlemail.com,S C Elec Services Ltd,1,B25 8NB,Birmingham,B25,07491149080,
274,49 Berkeley Road East,0,1,kimsingh82@gmail.com,S K Electrical Installations,0,B25 8PP,Birmingham,B25,07939701018,
275,66 Redhill Road,1,1,dave@hobdaysolutions.com,Hobday Solutions Ltd,1,B25 8EX,"Yardley, Birmingham",B25,01212187674,
276,31 Francis Road,0,0,Bhslimited15@gmail.com,Baraka Heating Service,0,B25 8HP,Birmingham,B25,07837 540020,
277,10 Derron Avenue,1,1,office@derron.co.uk,Derron Electrical Services Ltd,1,B26 1LA,Birmingham,B26,0121 608 7536,
278,180 Gilbertstone Avenue,1,1,taffy2guns@hotmail.co.uk,Evans Electrical,1,B26 1HS,Birmingham,B26,,
279,70 Brays Road,1,1,edward@b26electrical.co.uk,B26 electrical.co.uk,1,B26 1NS,Birmingham,B26,01217421322,b26electrical.co.uk
280,"Etna House,78 New Coventry Road",1,1,Duncan.smith@ngbailey.co.uk,N G Bailey Limited,1,B26 3AY,Birmingham,B26,0121 771 7171,www.ngbailey.co.uk
281,"81 Brays Road,Sheldon",1,1,infuse.electrical@gmail.com,Infuse Electrical Services,1,B26 1NX,Birmingham,B26,07716487189,
282,26 Benedon Road,1,1,jane.cartledge@blueyonder.co.uk,T.P. Electrical Limited,1,B26 2NJ,Birmingham,B26,01216038278,
283,32 Averill Road,1,1,stephen@britesparx.co.uk,Brite Sparx Electrical Services Ltd,1,B26 2EG,Birmingham,B26,07854925289,
284,"34 Keble Grove,Sheldon",1,1,findonelectrical@gmail.com,Findon Electrical Ltd,1,B26 3DD,Birmingham,B26,07970225506,www.lynx-electrical.co.uk
285,"121 Arden Road,Acocks Green",1,1,tigerred@hotmail.co.uk,Tiger Red Electrical Ltd,1,B27 6AG,Birmingham,B27,07590046667,www.tigerredelectrical.co.uk
286,"108 Yardley Road,Acocks Green",1,1,chris@jcmgroupservices.co.uk,JCM Associates LTD,1,B27 6LG,Birmingham,B27,07976534420,
287,5 Cottesbrook Road,0,1,Knightofficeukltd@gmail.com,Knight Home Systems Ltd,0,B27 6LE,Birmingham,B27,01217922210,
288,29 Victoria Road,0,1,markymark981@yahoo.co.uk,Electrical Boys,0,B27 7XZ,Birmingham,B27,07713244780,www.plumberboys.co.uk
289,233 Woodcock Lane North,1,1,l.b.electrical@hotmail.co.uk,L B Electrical,1,B27 6SE,Birmingham,B27,0121 694 8614,
290,"17 Kings Court School Road,Hall Green",0,1,edenadaptions@googlemail.com,Eden Adaptions Ltd,0,B28 8JG,Birmingham,B28,01212441829,
291,"1301 Stratford Road,Hall Green",1,1,martinarcher@mae-ltd.co.uk,MAE (UK) Ltd,1,B28 9HH,Birmingham,B28,01217020761,
292,"Centre Court,1301 Stratford Road",1,1,contractlaboursolutions@outlook.com,Contract Labour Solutions Ltd,1,B28 9HH,Birmingham,B28,01564200154,
293,26 Painswick Road,0,1,h-sandhu1@hotmail.co.uk,Tru Electrical Services,0,B28 0HF,Birmingham,B28,07546395632,
294,75 Bibury Road,1,1,asimfiaz1995@hotmail.co.uk,One Electrical Services,1,B28 0HG,Birmingham,B28,07771644549,
295,130 School Road,1,1,ram_parmar@hotmail.co.uk,RP Electrical Solutions Birmingham Ltd,1,B28 8JE,Birmingham,B28,07414989717,
296,297 Shaftmoor Lane,0,1,shahw12@yahoo.com,W S Electric,0,B28 8SL,Birmingham,B28,07482394766,
297,26 Ingestre Road,1,1,max2345@hotmail.com,N K Electrical Services,1,B28 9EG,Birmingham,B28,0121 247 3667,
298,"133 Highfield Road,Hall Green",0,1,np.corcoran@hotmail.co.uk,Neil Corcoran,0,B28 0HS,Birmingham,B28,07990832140,
299,"160 Highfield Road,Hall Green",1,1,Anzines@aol.com,4 Point Fire Solutions LTD,1,B28 0HT,Birmingham,B28,07973633762,
300,92 Arkley Road,1,1,kaqureshi71@gmail.com,M K Electrical Contractors,1,B28 9PD,Birmingham,B28,07447408060,
301,66 Doveridge Road,1,1,adrianfantham@yahoo.co.uk,A B Electrical Services,1,B28 0LU,Birmingham,B28,01217456837,
302,54 Sandgate Road,1,1,mike@mtcox-electrical.co.uk,MT Cox Electrical Ltd,1,B28 0UL,Birmingham,B28,07734392608,
303,354 Baldwins Lane,1,1,byrneelec@gmail.com,Byrne Electrical & Buildings Services Ltd,1,B28 0RD,Birmingham,B28,07912296908,
304,68 Gibbins Road,1,1,a.pro.elec.inspections@gmail.com,A-Pro Electrical Inspections,1,B29 6QR,Birmingham,B29,01216 801553,
305,18 Fladbury Crescent,0,1,soheilorange@yahoo.com,Soana Electrical,0,B29 6PH,BIRMINGHAM,B29,07853229214,
306,21 Magnolia Close,0,1,sales@a-d-electricalandsecurity.co.uk,A & D Electrical And Security Ltd,0,B29 4DN,Birmingham,B29,07951166445,
307,Stonebrook Way,1,1,sam.ryan@fortem.co.uk,Fortem Solutions Ltd,1,B29 5UT,Birmingham,B29,01214416254,
308,"Unit C Ludgate Court,57 Water Street",1,0,gmullins@estiloelectrical.co.uk,Estilo Electrical,1,B3 1EP,BIRMINGHAM,B3,08700 627602,
309,"Grosvenor House, 11 St Pauls Square",0,0,jmecoinstallers@gmail.com,JM Eco Installers Ltd,0,B3 1RB,Birmingham,B3,07979990701,
310,"4, Church Court,Cox Street, St Paul's Square",1,1,dan@morrisel.co.uk,Morris Electrical Installations Ltd,1,B3 1RD,Birmingham,B3,07972 797239,
311,"Unit 1, 3 Regal Court, 8 Sovereign Road",1,1,karl.horsburgh@emtecgroup.co.uk,Emtec Building Services (Midlands) Ltd,1,B30 3ES,Birmingham,B30,01215166007,
312,"3-4 Imperial Court,10 Sovereign Road",1,1,tim.collins@sothers.com,Lorne Stewart Plc,1,B30 3FJ,"Kings Norton Business Centre, Birmingham",B30,01215542054,
313,"48 Station Road,Kings Norton",0,1,redforde.electric@gmail.com,Redforde Electrical,0,B30 1DA,Birmingham,B30,07809572654,
314,"Flat 4, 74-76 Middleton Hall Road",1,1,ajmcl@hotmail.co.uk,AJM Electrical Services (Birmingham) Ltd,1,B30 1DG,Birmingham,B30,07827945167,
315,"30-32 Sovereign Road,Kings Norton Business Centre",1,0,phil.macaulay@clearchannel.co.uk,Clear Channel Ltd - Birmingham,0,B30 3HN,Birmingham,B30,07985884160,
316,Kings Norton Business Centre,1,0,arowberry@adiltd.co.uk,ADI Electrical Limited,1,B30 3HX,Birmingham,B30,0121 451 2255,
317,"66 Melchett Road,Kings Norton Business Centre",1,1,kgreen@adiltd.co.uk,ADI Automotive Services Ltd,1,B30 3HX,"Kings Norton, Birmingham",B30,,www.adiltd.co.uk
318,"47 Melchett Road,Kings Norton Business Centre",1,1,graham.francis@stirtech.co.uk,Stirling Technical Engineering Ltd,1,B30 3HP,BIRMINGHAM,B30,01214863600,
319,"Waterside Business Park,1649 - 1652 Pershore Road, Kings Norton",1,1,phil.parry@edsuk.com,E D S (Electrical Data Security) Ltd,1,B30 3DR,Birmingham,B30,01212 130130,www.eds-uk.co.uk
320,75 Lifford Lane,1,1,brian@harrold-jones.co.uk,H J S (Harrold-Jones-Services),1,B30 3JH,Birmingham,B30,0121 486 1929,www.harrold-jones.co.uk
321,335 Mary Vale Road,1,1,athenaelectrical@hotmail.com,Athena Electrical & Construction Ltd,1,B30 1PL,Birmingham,B30,01216805203,
322,88 Newlands Road,1,1,agelectricaltesting@gmail.com,A G Electrical Testing,1,B30 2RH,Birmingham,B30,0121 689 2296,www.agelectricaltesting.co.uk
323,40 Lockton Road,0,1,d.bateman269@gmail.com,Bateman Domestic Installation,0,B30 2UR,Birmingham,B30,07799606864,
324,14 Pinewoods,1,1,info@ch-functionalsolutions.com,C.H Functional Solutions Ltd,1,B31 1XA,"Northfield , BIRMINGHAM",B31,0121 371 9633,www.ch-functionalsolutions.com
325,"53 Senneleys Park Road,Quinton",1,1,jmggibbs@hotmail.com,Gibbs Electrical Services,1,B31 1AE,Birmingham,B31,0121 294 4233,www.elxpert.com
326,"41 Long Mynd Road,Northfield",1,1,Sales@kjkelly.co.uk,K J Kelly (Electrical Contractors) Ltd,1,B31 1HJ,Birmingham,B31,07792801829,
327,34 Clun Road,1,1,cjfielding@hotmail.co.uk,C J Fielding Electrical Services,1,B31 1NU,Birmingham,B31,07854764064,
328,157 St. Heliers Road,0,1,jared.bilton@gmail.com,Bilton Electrical Services & Testing,0,B31 1QP,Birmingham,B31,07760661263,
329,3 Innage Road,1,1,alldrick@blueyonder.co.uk,S A Electrical,1,B31 2DX,Birmingham,B31,0121 624 3778,
330,134 Frankley Beeches Road,1,1,frank@fd-electrical.co.uk,FD Electrical Solutions,1,B31 5LW,Birmingham,B31,07814267332,
331,206 Frankley Beeches Road,1,1,pjelectrical@hotmail.co.uk,P & J Electrical,1,B31 5LY,Birmingham,B31,07779262810,
332,21 Quarry Lane,1,1,cmk89@hotmail.co.uk,Ross Electrical,1,B31 2PZ,Birmingham,B31,0121 475 3462,
333,"47 South Road,Northfield",1,1,decthelec@hotmail.co.uk,D P M Electrical Services Ltd,1,B31 2QZ,Birmingham,B31,0121 475 9247,
334,"31 Mill Lane,Northfield",1,1,michael.ilsley1@gmail.com,Mike Ilsley Electrical Services,1,B31 2RT,Birmingham,B31,01214751245,
335,"2 Dice Pleck,Northfield",0,1,acesj70@hotmail.com,J Austin Services,0,B31 3XW,Birmingham,B31,07866077056,
336,"43 Jackson Way,Quinton",0,1,paul.pgservices@yahoo.com,P G Services,0,B32 1BL,Birmingham,B32,07966 414914,
337,103 Chichester Drive,1,1,gallagherelectrical@outlook.com,Gallagher Electrical,1,B32 1BD,Quinton,B32,07795834490,
338,"11 Ridgeway, Quinton Business Park,Quinton",1,1,morris.wilks@wates.co.uk,G Purchase Construction Ltd,1,B32 1AF,Birmingham,B32,01214232323,
339,"Wates House,11 Ridgeway Quinton Business Park",1,1,morris.wilks@wates.co.uk,Wates Property Services Ltd,1,B32 1AF,Birmingham,B32,07969891049,
340,"215 Quinton Lane,Quinton",1,1,local4electrics@gmail.com,Local 4 Electrics,1,B32 2UD,Birmingham,B32,01216824785,
341,236 West Boulevard,1,1,mr.thomas.carr@hotmail.co.uk,J&J Carr Electrical,1,B32 2BH,Birmingham,B32,07432861818,
342,75 Eddish Road,1,1,emrahelbir@outlook.com,Expert Electrical UK,1,B33 9RN,Birmingham,B33,0800 0076195,
343,90 Lea Ford Road,1,1,peter.williams@cartersynergy.com,Carter Synergy Ltd,0,B33 9TX,Birmingham,B33,0121 250 1330,
344,"Stuart House,Valepits Road",1,1,hr@ccssltd.co.uk,Close Circuit Security Services Ltd,1,B33 0TD,Birmingham,B33,0121 604 4499,
345,"De Virgo House,Valepits Road",1,1,electrical@mic-group.co.uk,MIC Group Ltd,1,B33 0TD,Birmingham,B33,08001804563,www.mic-group.co.uk
346,"Unit 3 Granby Business Park,Granby Avenue, Garrets Green",1,1,emssparkys@aol.com,E M S West Midlands Ltd,1,B33 0TJ,Birmingham,B33,07958938121,www.emswestmidlandsltd.co.uk
347,"4 Tile Cross Trading Estate,Tile Cross Road",0,1,info@pdjbs-ltd.co.uk,PDJ Building & Roofing Services Ltd,0,B33 0NW,Birmingham,B33,0121 2421851,
348,376a Gressel Lane,1,1,info@djwrightelectrical.co.uk,D J Wright Electrical Contractor Ltd,1,B33 9UX,Birmingham,B33,0121 779 2061,
349,8 Ketton Grove,0,1,mahelectrical@mail.com,M A H Electrical,0,B33 0PZ,Birmingham,B33,01216286968,
350,"Unit 2 Stechford Trading Estate,Lyndon Road ,Stechford",1,1,tsr.electrical@hotmail.co.uk,TSR Electrical Ltd,1,B33 8BU,Birmingham,B33,07835023367,
351,48 Old Farm Road,1,1,gayle.electrical@yahoo.co.uk,Gayle Electrical Ltd,1,B33 9HJ,Birmingham,B33,0121 608 0299,
352,220 Wyndhurst Road,0,1,nick@ne-electrical-services.co.uk,N E Electrical Services,0,B33 9DN,Birmingham,B33,01212448549,www.ne-electrical-services.co.uk
353,222 Stechford Road,0,1,sim.lodhi@blueyonder.co.uk,SIM Services,0,B34 6BL,Birmingham,B34,01217 831962,
354,10 Flamborough Close,0,0,info@mscheating.com,MSC Heating Limited,0,B34 6LX,Birmingham,B34,08454967041,
355,34 Moorfield Road,1,1,jsp.elec.r@gmail.com,JSP Electrical Ltd,1,B34 6QY,Birmingham,B34,07876 566788,www.jspelctrical.co.uk
356,42 Wheldrake Avenue,1,1,Derekwhitehouse1@virginmedia.com,D D W Electrical Contractor,1,B34 6TX,Birmingham,B34,07958531675,
357,"1087 Kingsbury Road,Castle Vale",1,1,,Skerritt Electrical Ltd,1,B35 6AJ,Birmingham,B35,01217 765710,
358,35 Watton Green,0,1,martinmckeown83@sky.com,I M Electrical,0,B35 7JS,Birmingham,B35,07860662148,
359,"Unit B4 OYO Business Unit,187 Park Lane",1,1,Stuart.jackson1@btinternet.com,A J Electrics (Coleshill) Ltd,1,B35 6AN,Birmingham,B35,07843556154,
360,"UNIT D3,Castle Vale Enterprise Park, Park Lane",1,1,admin@qeiltd.co.uk,Quality Electrical Installations Ltd,1,B35 6LJ,Birmingham,B35,07940 378502,www.qeiltd.co.uk
361,"37 Springfield Road,Castle Bromwich",1,1,arelectrical01@gmail.com,A R Electrical,1,B36 0DS,Birmingham,B36,07846869914,
362,279 Chester Road,1,1,matt.currydcm@outlook.com,DCM Contractors Ltd,1,B36 0ET,Birmingham,B36,07399523535,
363,57 Water Orton Road,1,1,,J & K Home Improvements,1,B36 9EY,Birmingham,B36,0121 748 5971,
364,"103 Park Hall Crescent,Castle Bromwich",1,1,camlec1985@gmail.com,Camlec,1,B36 9SU,Birmingham,B36,01217 494546,
365,164 Wyckham Road,1,1,lescath@hotmail.co.uk,Castle Electrical Services,1,B36 0HU,Birmingham,B36,0121 749 2815,
366,"37-38 The Green,Castle Bromwich",1,1,rob.ordish@demma.co.uk,Demma Group Ltd,1,B36 9AL,Birmingham,B36,01217491212,www.demma.co.uk
367,"39B The Green,Castle Bromwich",1,1,info@necoelectrical.com,Neco Electrical,1,B36 9AL,Birmingham,B36,03335778803,
368,121 Blandford Avenue,0,1,leon.williams@sky.com,Law Electrical,0,B36 9JD,Birmingham,B36,07957322789,
369,"13 Chestnut Drive,Castle Bromwich",1,1,scottradford888@gmail.com,Radford Installations,1,B36 9BH,Birmingham,B36,07867675588,
370,"29 Chester Road,Castle Bromwich",1,1,kevin@gf2uk.co.uk,GF2 Electrical Ltd,1,B36 9DA,Birmingham,B36,0121 748 7264,
